index,published,extreme,topic,domain,language,valid,title,description,url,image,archive,content,en,de
0a8298d7de0ac24d724df89900fb07e2,2025-09-23T13:16:38Z,Drought,Hazard,www.tagesspiegel.de,de,1,Auf dem Trockenen: Extreme Wasserknappheit könnte bald Millionen Menschen treffen,"Selbst unter moderaten Emissionen steuern ganze Weltregionen auf eine „Stunde-Null-Dürre“ zu, zeigt eine neue Studie. Welche Länder besonders gefährdet sind.",https://www.tagesspiegel.de/wissen/auf-dem-trockenen-extreme-wasserknappheit-konnte-bald-millionen-menschen-treffen-14373677.html,https://www.tagesspiegel.de/images/14374238/alternates/BASE_16_9_W1400/1758633289000/hot023-trockene-felder-auf-mallorca.jpeg,,"In den kommenden 15 Jahren könnte es im Zuge des Klimawandels vor allem in Städten bestimmter Weltregionen zu extremer Wasserknappheit kommen. Zu diesen Regionen zählen vor allem der Mittelmeerraum, … [+4687 chars]","On dry land: Extreme water shortages could soon affect millions of people Even with moderate emissions, entire regions of the world are heading for a “zero hour drought,” a new study shows. Which countries are particularly at risk.","Auf dem Trockenen: Extreme Wasserknappheit könnte bald Millionen Menschen treffen Selbst unter moderaten Emissionen steuern ganze Weltregionen auf eine „Stunde-Null-Dürre“ zu, zeigt eine neue Studie. Welche Länder besonders gefährdet sind."
d27e31c76a513c224716ae8b823677ec,2025-09-23T15:41:24Z,Drought,Hazard,www.n-tv.de,de,1,Welche Regionen sind betroffen?: Extreme Wasserknappheit: Milliarden Liter könnten bald fehlen,"Wie steht es mit der weltweiten Wasserversorgung? Ein Forscherteam berechnet, wann es in welcher Weltregion mit einer fast 100-prozentigen Wahrscheinlichkeit zu einer ""Stunde-Null-Dürre"" kommt. Demnach könnten Millionen Menschen schon bald von extremer Wasser…",https://www.n-tv.de/wissen/Extreme-Wasserknappheit-Milliarden-Liter-koennten-bald-fehlen-article26050101.html,https://www.n-tv.de/img/incoming/crop26050237/1981327410-cImg_16_9-w1200/547869164.jpg,,"Wie steht es mit der weltweiten Wasserversorgung? Ein Forscherteam berechnet, wann es in welcher Weltregion mit einer fast 100-prozentigen Wahrscheinlichkeit zu einer ""Stunde-Null-Dürre"" kommt. Demna… [+4096 chars]","Which regions are affected?: Extreme water shortage: Billions of liters could soon be missing What is the status of the global water supply? A team of researchers calculates when and in which region of the world there is an almost 100 percent probability that a “zero hour drought” will occur. According to this, millions of people could soon be affected by extreme water...","Welche Regionen sind betroffen?: Extreme Wasserknappheit: Milliarden Liter könnten bald fehlen Wie steht es mit der weltweiten Wasserversorgung? Ein Forscherteam berechnet, wann es in welcher Weltregion mit einer fast 100-prozentigen Wahrscheinlichkeit zu einer ""Stunde-Null-Dürre"" kommt. Demnach könnten Millionen Menschen schon bald von extremer Wasser…"
b7f2e0c697d2edc108efaf0c63a550dc,2025-09-24T02:01:37Z,Drought,Hazard,www.stern.de,de,1,Kampfmittelbeseitigung: Sachsen meldet keinen signifikanten Anstieg von Bombenfunden,Wochenlang führten Flüsse und Seen in Sachsen in diesem Jahr Niedrigwasser – doch mehr Bombenfunde brachte das nicht. Die Arbeit der Kampfmittelbeseitiger bleibt eine Daueraufgabe.,https://www.stern.de/gesellschaft/regional/sachsen/kampfmittelbeseitigung--sachsen-meldet-keinen-signifikanten-anstieg-von-bombenfunden-36074720.html,https://image.stern.de/36074722/t/-M/v1/w1440/r1.7778/-/24--yo6bb25mr7v7axs2048jpeg---08c98fc4b2b03826.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Wochenlang führten Flüsse und Seen in Sachsen in diesem Jahr Niedrigwasser doch mehr Bombenfunde brachte das nicht. Die Arbeit der Kampfmittelbes… [+2175 chars]",Explosive ordnance disposal: Saxony reports no significant increase in bomb discoveries. Rivers and lakes in Saxony were at low water for weeks this year - but that didn't result in more bomb discoveries. The work of explosive ordnance disposal remains an ongoing task.,Kampfmittelbeseitigung: Sachsen meldet keinen signifikanten Anstieg von Bombenfunden Wochenlang führten Flüsse und Seen in Sachsen in diesem Jahr Niedrigwasser – doch mehr Bombenfunde brachte das nicht. Die Arbeit der Kampfmittelbeseitiger bleibt eine Daueraufgabe.
5a523f7fee25cd83c474012e5c663d2d,2025-09-24T08:03:00Z,Drought,Hazard,taz.de,de,1,Baumbestand in Deutschland schrumpft: Dramatischer Waldverlust,"Dürre, Hitze und Schädlinge setzen den deutschen Wäldern stark zu. Neue Satellitendaten zeigen: Seit 2017 ist fast ein Zehntel der gesamten Waldfläche verloren gegangen.",https://taz.de/Baumbestand-in-Deutschland-schrumpft/!6115657/,https://taz.de/picture/7947694/1200/39311890.jpeg,,"Dürre, Hitze und Schädlinge setzen den deutschen Wäldern stark zu. Neue Satellitendaten zeigen: Seit 2017 ist fast ein Zehntel der gesamten Waldfläche verloren gegangen. mehr...","Tree populations in Germany are shrinking: dramatic forest loss. Drought, heat and pests are taking a toll on German forests. New satellite data shows: Since 2017, almost a tenth of the total forest area has been lost.","Baumbestand in Deutschland schrumpft: Dramatischer Waldverlust Dürre, Hitze und Schädlinge setzen den deutschen Wäldern stark zu. Neue Satellitendaten zeigen: Seit 2017 ist fast ein Zehntel der gesamten Waldfläche verloren gegangen."
86855fc71474944d0889d1f78f8cdde0,2025-09-26T07:13:00Z,Drought,Hazard,www.stern.de,de,1,"Hitze, Dürren, Starkregen: Eine kurze Geschichte des Extremwetters in Deutschland",Deutschland erhitzt sich doppelt so schnell wie der Rest der Welt. Woran liegt das? Und was bedeutet das für uns? Ein Blick auf über 100 Jahre deutsche Wettergeschichte.,https://www.stern.de/panorama/wetter/extremwetter-in-deutschland--eine-kurze-geschichte-in-grafiken-36067056.html,https://image.stern.de/36079846/t/QD/v7/w1440/r1.7778/-/extremwetter-6.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Deutschland erhitzt sich doppelt so schnell wie der Rest der Welt. Woran liegt das? Und was bedeutet das für uns? Ein Blick auf über 100 Jahre de… [+12675 chars]","Heat, droughts, heavy rain: A brief history of extreme weather in Germany Germany is heating up twice as fast as the rest of the world. Why is that? And what does that mean for us? A look at over 100 years of German weather history.","Hitze, Dürren, Starkregen: Eine kurze Geschichte des Extremwetters in Deutschland Deutschland erhitzt sich doppelt so schnell wie der Rest der Welt. Woran liegt das? Und was bedeutet das für uns? Ein Blick auf über 100 Jahre deutsche Wettergeschichte."
cb2b318d8eaffd79d79c75fa6cc7890d,2025-09-26T18:23:51Z,Drought,Hazard,www.morgenpost.de,de,1,Wachstum nach Bedarf – das erstaunliche Geheimnis der Pflanzen,"Forscher haben einen Mechanismus entdeckt, der Pflanzen schneller und flexibler auf Hitze, Dürre oder Starkregen reagieren lässt.",https://www.morgenpost.de/panorama/article410093670/wachstum-nach-bedarf-das-erstaunliche-geheimnis-der-pflanzen.html,https://img.sparknews.funkemedien.de/410093559/410093559_1758911031_v16_9_1600.jpeg,,"Die Klimaextreme nehmen zu: Hitze, Trockenperioden und sintflutartige Regenfälle setzen Pflanzen unter Stress und bedrohen Ernten weltweit. Nun gibt es Hoffnung aus der Biologie: Ein Team der Univers… [+2040 chars]","Growth on demand – the amazing secret of plants Researchers have discovered a mechanism that allows plants to react more quickly and flexibly to heat, drought or heavy rain.","Wachstum nach Bedarf – das erstaunliche Geheimnis der Pflanzen Forscher haben einen Mechanismus entdeckt, der Pflanzen schneller und flexibler auf Hitze, Dürre oder Starkregen reagieren lässt."
52f37935c459fa65aad5d849a2465dbd,2025-09-28T18:37:40Z,Drought,Impacts,www.ndr.de,de,1,Gefährlicher Trend: Warum Grundwasser bald knapp werden könnte,"Ausgedörrte Böden, Staub, die Natur im Trockenstress - das Szenario aus dem Frühjahr 2025 in MV ist längst nichts Neues. In den vergangenen Jahren waren Landwirte immer wieder gezwungen, die Felder zu bewässern, um ihre Ernte zu retten. Doch auch das Grundwas…","https://www.ndr.de/nachrichten/mecklenburg-vorpommern/gefaehrlicher-trend-warum-grundwasser-bald-knapp-werden-koennte,grundwasser-108.html",https://images.ndr.de/image/c38929d3-5c95-4d54-8b8e-aa7447ee077b/AAABmZTAvis/AAABmKJZ-0g/16x9-big/bewaesserung144.webp?width=1920,,"Stand: 28.09.2025 13:26 Uhr
Ausgedörrte Böden, Staub, die Natur im Trockenstress - das Szenario aus dem Frühjahr 2025 in MV ist längst nichts Neues. In den vergangenen Jahren waren Landwirte immer w… [+3216 chars]","Dangerous trend: Why groundwater could soon become scarce Parched soils, dust, nature in drought stress - the scenario from spring 2025 in MV is by no means new. In recent years, farmers have repeatedly been forced to irrigate their fields to save their crops. But also the basic thing...","Gefährlicher Trend: Warum Grundwasser bald knapp werden könnte Ausgedörrte Böden, Staub, die Natur im Trockenstress - das Szenario aus dem Frühjahr 2025 in MV ist längst nichts Neues. In den vergangenen Jahren waren Landwirte immer wieder gezwungen, die Felder zu bewässern, um ihre Ernte zu retten. Doch auch das Grundwas…"
cc40082e611f6c1225ab18f1bae651b0,2025-09-29T07:49:55Z,Drought,Impacts,www.n-tv.de,de,1,EU-Bericht schlägt Alarm: Umweltkrise bedroht Europas Wohlstand,"Trotz Fortschritten im Klimaschutz zeigt ein EU-Bericht alarmierende Defizite: Artensterben, Wasserknappheit und Mobilitätsprobleme gefährden Sicherheit und Lebensqualität in Europa. Besonders Deutschland kämpft mit einem dramatischen Verlust der Biodiversitä…",https://www.n-tv.de/wissen/Umweltkrise-bedroht-Europas-Wohlstand-article26062916.html,https://www.n-tv.de/img/incoming/crop26062972/176132662-cImg_16_9-w1200/549812543.jpg,http://web.archive.org/web/20250929105711/https://www.n-tv.de/wissen/Umweltkrise-bedroht-Europas-Wohlstand-article26062916.html,"Trotz Fortschritten im Klimaschutz zeigt ein EU-Bericht alarmierende Defizite: Artensterben, Wasserknappheit und Mobilitätsprobleme gefährden Sicherheit und Lebensqualität in Europa. Besonders Deutsc… [+5383 chars]","EU report sounds the alarm: Environmental crisis threatens Europe's prosperity Despite progress in climate protection, an EU report shows alarming deficits: species extinction, water shortages and mobility problems endanger security and quality of life in Europe. Germany in particular is struggling with a dramatic loss of biodiversity...","EU-Bericht schlägt Alarm: Umweltkrise bedroht Europas Wohlstand Trotz Fortschritten im Klimaschutz zeigt ein EU-Bericht alarmierende Defizite: Artensterben, Wasserknappheit und Mobilitätsprobleme gefährden Sicherheit und Lebensqualität in Europa. Besonders Deutschland kämpft mit einem dramatischen Verlust der Biodiversitä…"
a8a9ecb89b5cac16f5df4519882eef32,2025-09-29T12:33:55Z,Drought,Impacts,science.orf.at,de,1,Europas Wälder wachsen,"In Europa wächst der Wald: In den vergangenen 30 Jahren wurde er um 14 Mio. Hektar größer – nirgendwo sonst ist die wichtige Kohlenstoffsenke derart im Aufwind. Gleichzeitig steigt der Druck durch Trockenstress, Borkenkäfer, Windwurf und Co. Anlässlich des 15…",https://science.orf.at/stories/3232234/,https://ibs.orf.at/science?image=https%3A%2F%2Ftubestatic.orf.at%2Fmojo%2F1_4_1%2Fstoryserver%2Ftube%2Fscience%2Fimages%2Fog-fallback.jpg%3Fs%3D9468ebfda8d575e29237d4fe069891178635d8e1,http://web.archive.org/web/20250929164318/https://science.orf.at/stories/3232234/,Knapp die Hälfte von Österreichs Staatsfläche ist heute bewaldet ein im internationalen Vergleich extrem hoher Wert. Nach einer langen Phase der starken Übernutzung der Wälder war es vor 150 Jahren a… [+3394 chars],"Europe's forests are growing The forests are growing in Europe: In the last 30 years they have grown by 14 million hectares - nowhere else is the important carbon sink on the rise. At the same time, pressure increases due to drought stress, bark beetles, windthrow, etc. On the occasion of the 15th…","Europas Wälder wachsen In Europa wächst der Wald: In den vergangenen 30 Jahren wurde er um 14 Mio. Hektar größer – nirgendwo sonst ist die wichtige Kohlenstoffsenke derart im Aufwind. Gleichzeitig steigt der Druck durch Trockenstress, Borkenkäfer, Windwurf und Co. Anlässlich des 15…"
7aa592ff7e956cb2e46264bd53869c36,2025-09-30T05:19:00Z,Drought,Hazard,taz.de,de,1,Proteste in Madagaskar: Die Jugend verlangt Wasser und Strom,"Erst erlebt Madagaskar schwere Dürre, jetzt schwere Unruhen. Eine unerschrockene Protestbewegung fordert den autoritären Präsidenten Rajoelina heraus.",https://taz.de/Proteste-in-Madagaskar/!6112805/,https://taz.de/picture/7958025/1200/39331111.jpeg,,"Erst erlebt Madagaskar schwere Dürre, jetzt schwere Unruhen. Eine unerschrockene Protestbewegung fordert den autoritären Präsidenten Rajoelina heraus. mehr...","Protests in Madagascar: Young people demand water and electricity First Madagascar is experiencing severe drought, now serious unrest. A fearless protest movement is challenging the authoritarian President Rajoelina.","Proteste in Madagaskar: Die Jugend verlangt Wasser und Strom Erst erlebt Madagaskar schwere Dürre, jetzt schwere Unruhen. Eine unerschrockene Protestbewegung fordert den autoritären Präsidenten Rajoelina heraus."
